,coef,SE,t,p-value
name[T.ERF069],3.0660077070514963e-12,3.1034179946161823e-09,0.0009879454563872525,0.9993014172388066
name[T.ERF094],-2.0074985510737386e-12,3.0684606660552438e-09,-0.000654236364598586,0.9995373850795962
name[T.ERF096],3.0652375846958527e-12,3.103417994616183e-09,0.0009876973034291332,0.9993015927093176
name[T.ERF098],2.5278776467907438e-12,3.0810086119515173e-09,0.0008204708149743148,0.999419839620603
name[T.ERF10],-1.2068124548725995e-12,3.107810171653571e-09,-0.00038831601295342033,0.9997254191243483
name[T.ERF104],1.0718309798193014e-11,3.1074346275160685e-09,0.0034492470745106896,0.9975610212579336
name[T.ERF105],3.719667531886656e-12,3.0976242164061567e-09,0.0012008130334809268,0.9991508972671796
name[T.ERF109],7.677288981597401e-12,3.1013156534667744e-09,0.0024754942222715774,0.998249563930341
name[T.ERF11],-4.658370585976235e-13,3.0771780531841426e-09,-0.0001513844992218093,0.999892954994647
name[T.ERF112],2.2737909049098254e-11,3.098942137683935e-09,0.00733731319878465,0.9948118059090982
name[T.ERF13],1.0776985315437415e-11,2.6929267421401016e-09,0.0040019600781537835,0.99717019822098
name[T.ERF15],-6.437855944955301e-12,3.1066887315243095e-09,-0.0020722565088767486,0.9985346949433099
name[T.ERF1B],-6.860980615022369e-12,4.35508939653177e-09,-0.001575393749778408,0.998886029087674
name[T.ERF2],1.073162178154459e-11,3.1074346275160697e-09,0.003453530988718794,0.9975579921002098
name[T.ERF3],-6.7888670623713135e-12,3.0708873899544444e-09,-0.0022107183365235755,0.9984367879829115
name[T.ERF38],-1.988674524534828e-13,3.1063183809160007e-09,-6.402030573403108e-05,0.9999547308077282
name[T.ERF4],65.99999999938764,1.022830490287468e-07,645268210.383895,2.401703884024599e-18
name[T.ERF5],1.0725799751403614e-11,3.1074346275160697e-09,0.0034516574078268833,0.9975593169101193
name[T.ERF6],5.825322564817839e-12,3.103063257765629e-09,0.0018772812801155661,0.9986725628461688
name[T.ERF7],-5.7942832660824034e-12,3.0723101758486453e-09,-0.0018859694934551601,0.9986664193679132
name[T.ERF8],65.99999999939956,1.0238870808595543e-07,644602331.9680183,2.4066683984622917e-18
name[T.ERF9],-1.200923924174935e-12,3.1070608139311187e-09,-0.0003865144572614595,0.9997266930164513
name[T.ESE1],-1.2177022628082068e-12,3.107810171653571e-09,-0.0003918200261762785,0.9997229414131198
name[T.ESE3],1.0723969021825264e-11,3.1074346275160693e-09,0.003451068262825364,0.9975597334948232
name[T.EmBP-1],5.870127669810755e-10,3.0903048940575645e-09,0.18995302635343816,0.8668783877794377
name[T.F3A4.140],-1.2296094047473116e-12,3.10781017165357e-09,-0.00039565138693560374,0.9997202322322607
name[T.FAR1],-1.2320174990875649e-12,3.1078101716535712e-09,-0.00039642623939030545,0.9997196843289
name[T.FHY3],9.795283918560046e-11,3.1070608140401978e-09,0.0315258841226959,0.977713370432631
name[T.FLC],5.366372341072609e-10,3.0847315598678636e-09,0.1739656186259034,0.8779080121149453
name[T.FUS3],3.2004514598400757e-12,3.095072266901093e-09,0.001034047409511537,0.9992688182601208
name[T.FaEOBII],1.5604774633928842e-11,3.0716859917193163e-09,0.005080198521592493,0.996407780352909
name[T.GATA10],7.173967474759235e-12,3.076101951225246e-09,0.0023321618036430047,0.9983509148161531
name[T.GATA11],-2.6028458902094265e-12,3.0732592315831673e-09,-0.0008469334000401226,0.9994011277570105
name[T.GATA12],6.779805531006641e-12,3.103063257765629e-09,0.002184875063065412,0.9984550618706196
name[T.GATA14],1.3019934522878751e-12,3.1013156534825376e-09,0.00041981971452207295,0.9997031426460659
name[T.GATA15],-5.280361109298581e-13,3.0852288059192215e-09,-0.00017114974095820215,0.9998789788584563
name[T.GATA19],-1.189242009990571e-12,3.1070608139311187e-09,-0.00038275466146602937,0.9997293515932593
name[T.GATA20],1.6877128329855634e-11,3.0986100387371484e-09,0.005446677096784331,0.9961486462536701
name[T.GATA6],1.9999999999528157,9.792716236341597e-09,204233427.34374827,2.39743228225083e-17
name[T.GATA8],2.202349890997879e-11,3.105949762725449e-09,0.007090745373374399,0.994986148884865
name[T.GATA9],1.6058069967055805e-11,3.1023589982691297e-09,0.005176083740152231,0.9963399806019331
name[T.GBF3],-1.9617792633430664e-13,3.1063183809160003e-09,-6.315448137562033e-05,0.9999553430380015
name[T.GBF6],-9.478674897929473e-13,3.07429594426232e-09,-0.0003083201835405566,0.999781984712623
name[T.GT-1],1.6113544553568795e-12,3.482780411367152e-09,0.0004626632359874646,0.9996728477059349
name[T.GT2],1.0723625004475934e-11,3.1074346275160697e-09,0.003450957554993803,0.9975598117763824
name[T.GT3a],1.0726397851532066e-11,3.1074346275160697e-09,0.0034518498817483474,0.9975591808117203
name[T.Gam1],-7.899234570488481e-12,3.0875538876387566e-09,-0.0025584118878422277,0.9981909325653359
name[T.Glyma19g26560.1],8.959347803580431e-12,3.1023589982691346e-09,0.0028879145864740417,0.9979579402701326
name[T.HAT1],-1.6662217124704254e-11,3.071106599415678e-09,-0.005425476643459553,0.9961636369057378
name[T.HAT2],3.999999999976044,3.1734954329159345e-09,1260439816.1369605,6.294420789286828e-19
name[T.HAT22],11.999999999916486,3.084774633905084e-08,389007348.1551364,6.608218432025484e-18
name[T.HAT5],5.869770381555783e-12,3.0691628156460984e-09,0.001912498858526709,0.9986476603247206
name[T.HBI1],2.00000000000115,3.36041952761517e-09,595163783.4400142,2.823104850391094e-18
name[T.HDG1],-1.2223261953384773e-12,3.10781017165357e-09,-0.00039330786882910395,0.9997218893496123
name[T.HMG-1],24.999999999796334,4.992675378641813e-08,500733536.70747226,3.98828918990437e-18
name[T.HMG-I/Y],45.99999999962895,7.61165373482613e-08,604336476.6996946,2.7380563601052573e-18
name[T.HY5],2.0000000003248366,3.072841755018117e-09,650863324.4971787,2.3605891120788995e-18
name[T.IDD2],-4.388658957998979e-12,3.0859879352098843e-09,-0.0014221244703928168,0.9989944066517313
name[T.IDD4],1.0808506867299172e-12,3.107810171653575e-09,0.0003477852980173587,0.9997540786648113
name[T.IDD5],8.425310552310702e-12,3.105582877572505e-09,0.0027129562740558356,0.9980816537513695
name[T.IDD7],1.0982509684526664e-11,3.0891833508744003e-09,0.003555149836418107,0.9974861373857562
name[T.JKD],1.9999999999856561,4.225387799747449e-09,473329335.6186611,4.4634755146276696e-18
name[T.KAN1],-2.336759258314558e-13,3.072181756957452e-09,-7.606188185391666e-05,0.9999462161276291
name[T.KAN2],4.7010930508107306e-12,3.0803611117835587e-09,0.0015261499805419737,0.9989208496280222
name[T.KAN4],7.999999999882672,1.7466431685112396e-08,458021428.996371,4.766816184681981e-18
name[T.LCL1],-1.220143711611857e-12,3.10781017165357e-09,-0.0003926056110958206,0.99972238592076
name[T.LEC2],0.9999999999905298,3.210397436034e-09,311487913.85339844,1.0306651697488892e-17
name[T.LEP],-1.2337460155061042e-12,3.10781017165357e-09,-0.0003969824240743977,0.9997192910469848
name[T.LFY],8.074254149125198e-12,3.1027102587902647e-09,0.0026023229614335047,0.9981598829024876
name[T.LHY1],9.504828754570635e-12,3.105217726068767e-09,0.0030609218396430555,0.9978356064801823
name[T.MGP],6.999999999989873,5.0486630314643734e-09,1386505686.0329835,5.201836409254854e-19
name[T.MNB1A],1.531817971993615e-11,3.09476114876678e-09,0.004949713074316004,0.9965000457570796
